id;date_time;work_quantity;work_quantity_comment;work_quality;work_quality_comment;work_progress;work_progress_comment;work_attitude;work_attitude_comment;work_discipline;work_discipline_comment;assigned_work;other_work;completed_work;uncompleted_work;favourite_work;unfavourite_work;employee_ki_point;leader_ki_point;leader_comment;boss_ki_point;boss_comment;status;employee_id
1;2021-10-27;0;navigating Buckinghamshire;0;engineerXX;2;Avon Palladium Latvia;0;Pizza withdrawal intangible;1;Extended Avon Borders;cross-media;Reactive generating;AssuranceX;metrics users Automotive;Isle;Hat Gloves Rubber;0;1;Advanced open;0;SeniorXXXX;navigating Shilling Awesome;1
2;2021-10-27;2;application Borders;2;Integration Bike;2;Washington Indiana;1;SteelXXXXX;2;groupware Gloves Consultant;innovative;Account Health;neural protocol;users Digitized;Savings User-friendly HTTP;Associate Automotive;0;0;SAS generate lime;1;communities;synthesize Bedfordshire bluetooth;2
3;2021-10-27;1;Rubber Administrator;2;paymentXXX;2;Orchestrator Personal Pants;1;LoanXXXXXX;2;alarm Spring Steel;Optional transmitter;Generic red;SleekXXXXX;Washington;calculate Kids payment;Associate;0;2;solid Australia embrace;1;CrescentXX;Pants world-class web-enabled;1
4;2021-10-27;1;Turkmenistan;1;azureXXXXX;0;parsing optical Identity;0;leading-edge next-generation;1;innovative (the Kansas;Movies Virginia;Branch wireless;FTPXXXXXXX;Intelligent;Liaison hacking;Yen;2;1;LoanXXXXXX;1;Unbranded bypass;Practical;2
5;2021-10-27;1;Soft open Savings;1;Home primary Concrete;1;Investment Accountability capacitor;2;Radial Utah customized;2;Switchable Associate synergize;Branch exploit bus;functionalities;Games Engineer;AI up;Regional Missouri transmit;Fort;2;0;LeadXXXXXX;2;compressXX;encompassing circuit;2
6;2021-10-27;2;productize;0;Outdoors Triple-buffered;2;pixel purple Account;2;Central Focused Extended;1;hacking Distributed;Plastic Handmade AGP;Small;Quality-focused Granite Metal;Turkey framework encryption;optimal;bluetooth Handmade;2;0;indigo Polarised plug-and-play;0;Dynamic Sports 1080p;Maine Account;2
7;2021-10-26;2;GlobalXXXX;1;Junction Account 24/365;0;Computers bypassing;0;benchmark Games intuitive;1;e-business IB mission-critical;CheeseXXXX;deposit 1080p wireless;SMSXXXXXXX;compelling Strategist;SCSI;Intelligent National;1;1;Specialist well-modulated;0;ADP Shoes Outdoors;Benin;2
8;2021-10-27;2;Concrete orchid;0;Circle task-force Expanded;2;Cotton Steel;1;Metrics HDD open-source;1;deploy Pound;Concrete eyeballs;Functionality Multi-tiered;Corporate visionary discrete;Berkshire pixel;Engineer Chief mobile;Rubber;1;1;Front-line backing Executive;0;array firewall Togo;Buckinghamshire;2
9;2021-10-27;0;Games FTPX;2;transmitting time-frame;0;Saudi withdrawal;1;mobile Tuna;0;DirectorXX;generating;application;overrideXX;USB;Pants Incredible;Bermuda;2;1;Books Legacy;0;Associate Group Alabama;Card;1
10;2021-10-27;0;BelarusXXX;2;Response matrix Data;0;Iraqi Outdoors Beauty;2;input Usability;0;Brand Ruble Avon;reinventXX;Indian 5th Health;WoodenXXXX;Berkshire payment;Shoes revolutionary;clicks-and-mortar Bedfordshire Operations;2;2;Mouse Cordoba Chicken;0;Gorgeous synergies;salmon;2
